actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2019-02-20 23:49 CET,1,very good,urban,0,ABREA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,16.5,0,CHMI,20,20.4,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,urban,0,ACHOA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,20.3,0,CHMI,29,19.8,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,traffic,0,AKALA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,35.2,0,CHMI,29,27.6,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,suburban,0,AKOBA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,27.2,40.5,CHMI,29,20.8,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,3,fair,traffic,342,ALEGA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,67.3,0,CHMI,37,24.7,25,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,traffic,0,ALERA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,18.7,0,Letiste Pr,25,25.7,17,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,0,Incomplete data,suburban,304,ALIBA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,0,48.5,CHMI,40.3,21.2,18.6,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,traffic,0,APRUA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,42.8,0,CHMI,28,29.8,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,urban,0,AREPA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,29.5,0,CHMI,28,25,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,suburban,0,ARERA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,18.6,0,ZU Usti nL,30,34.8,26,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,urban,0,ARIEA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,37.7,33.3,CHMI,23,24.2,14,1.3,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,traffic,0,ASMIA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.9,0,CHMI,30,27.5,13,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,urban,0,ASROA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,42.5,0,SZU,23,17.1,18,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,urban,0,ASTOA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,51.1,CHMI,30,19.3,13,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,2,good,suburban,0,ASUCA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,46.3,CHMI,26,20.3,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,3,fair,traffic,0,AVRSA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,53,41.1,0,0,2019-02-20 23:49:00.0
2019-02-20 23:49 CET,3,fair,traffic,0,AVYNA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,60.8,10.8,CHMI,25,36.5,0,0,2019-02-20 23:49:00.0
2019-02-20 23:24 CET,1,very good,urban,0,ABREA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,16.5,0,CHMI,20,20.4,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,urban,0,ACHOA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,20.3,0,CHMI,29,19.8,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,traffic,0,AKALA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,35.2,0,CHMI,29,27.6,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,suburban,0,AKOBA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,27.2,40.5,CHMI,29,20.8,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,3,fair,traffic,342,ALEGA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,67.3,0,CHMI,37,24.7,25,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,traffic,0,ALERA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,18.7,0,Letiste Pr,25,25.7,17,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,0,Incomplete data,suburban,304,ALIBA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,0,48.5,CHMI,40.3,21.2,18.6,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,traffic,0,APRUA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,42.8,0,CHMI,28,29.8,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,urban,0,AREPA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,29.5,0,CHMI,28,25,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,suburban,0,ARERA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,18.6,0,ZU Usti nL,30,34.8,26,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,urban,0,ARIEA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,37.7,33.3,CHMI,23,24.2,14,1.3,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,traffic,0,ASMIA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,37.9,0,CHMI,30,27.5,13,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,urban,0,ASROA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,42.5,0,SZU,23,17.1,18,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,urban,0,ASTOA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,51.1,CHMI,30,19.3,13,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,2,good,suburban,0,ASUCA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,46.3,CHMI,26,20.3,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,3,fair,traffic,0,AVRSA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,53,41.1,0,0,2019-02-20 23:24:00.0
2019-02-20 23:24 CET,3,fair,traffic,0,AVYNA,2019-02-20 21:00:00.0 UTC,2019-02-20 22:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,60.8,10.8,CHMI,25,36.5,0,0,2019-02-20 23:24:00.0
2019-02-20 22:47 CET,1,very good,urban,0,ABREA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,18,0,CHMI,20,20.3,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,urban,0,ACHOA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,21.4,0,CHMI,26,19.5,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,traffic,0,AKALA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,31,0,CHMI,32,27.8,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,suburban,0,AKOBA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,17.4,55.1,CHMI,30,20.6,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,3,fair,traffic,324,ALEGA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,66.8,0,CHMI,32,23.9,22,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,traffic,0,ALERA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,25.1,0,Letiste Pr,23,25.5,12,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,suburban,293,ALIBA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,16.3,54.3,CHMI,21.8,20.6,21.1,3.7,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,traffic,0,APRUA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,42.8,0,CHMI,32,29.4,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,urban,0,AREPA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,28.7,0,CHMI,22,24.7,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,suburban,0,ARERA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,23.9,0,ZU Usti nL,35,34.3,29,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,urban,0,ARIEA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,36.2,41.1,CHMI,27,23.7,12,1.3,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,3,fair,traffic,0,ASMIA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,44.6,0,CHMI,47,26.9,23,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,urban,0,ASROA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,49.5,0,SZU,23,16.6,18,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,urban,0,ASTOA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,55.3,CHMI,22,19,14,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,2,good,suburban,0,ASUCA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,,CHMI,29,20,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,3,fair,traffic,0,AVRSA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,59,40.4,0,0,2019-02-20 22:47:00.0
2019-02-20 22:47 CET,4,suitable,traffic,0,AVYNA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,60.4,14.8,CHMI,81,36.6,0,0,2019-02-20 22:47:00.0
2019-02-20 22:24 CET,1,very good,urban,0,ABREA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,18,0,CHMI,20,20.3,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,urban,0,ACHOA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,21.4,0,CHMI,26,19.5,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,traffic,0,AKALA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,31,0,CHMI,32,27.8,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,suburban,0,AKOBA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,17.4,55.1,CHMI,30,20.6,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,3,fair,traffic,324,ALEGA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,66.8,0,CHMI,32,23.9,22,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,traffic,0,ALERA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,25.1,0,Letiste Pr,23,25.5,12,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,suburban,293,ALIBA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,16.3,54.3,CHMI,21.8,20.6,21.1,3.7,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,traffic,0,APRUA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,42.8,0,CHMI,32,29.4,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,urban,0,AREPA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,28.7,0,CHMI,22,24.7,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,suburban,0,ARERA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,23.9,0,ZU Usti nL,35,34.3,29,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,urban,0,ARIEA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,36.2,41.1,CHMI,27,23.7,12,1.3,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,3,fair,traffic,0,ASMIA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,44.6,0,CHMI,47,26.9,23,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,urban,0,ASROA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,49.5,0,SZU,23,16.6,18,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,urban,0,ASTOA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,55.3,CHMI,22,19,14,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,2,good,suburban,0,ASUCA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,,CHMI,29,20,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,3,fair,traffic,0,AVRSA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,59,40.4,0,0,2019-02-20 22:24:00.0
2019-02-20 22:24 CET,4,suitable,traffic,0,AVYNA,2019-02-20 20:00:00.0 UTC,2019-02-20 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,60.4,14.8,CHMI,81,36.6,0,0,2019-02-20 22:24:00.0
2019-02-20 21:47 CET,2,good,urban,0,ABREA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,18.6,0,CHMI,23,19.9,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,urban,0,ACHOA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,29.5,0,CHMI,19,19.3,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,traffic,0,AKALA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,44.6,0,CHMI,31,27.7,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,suburban,0,AKOBA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,24.3,51.5,CHMI,43,20.3,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,traffic,297,ALEGA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,64.1,0,CHMI,35,23.3,21,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,traffic,0,ALERA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,18.6,0,Letiste Pr,23,25.5,16,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,suburban,280,ALIBA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.1,46.7,CHMI,37,20.6,20.5,4,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,traffic,0,APRUA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,68.9,0,CHMI,58,29,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,urban,0,AREPA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,40.9,0,CHMI,18,24.8,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,suburban,0,ARERA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,34.2,0,ZU Usti nL,37,33.8,31,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,urban,0,ARIEA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,44,38.7,CHMI,25,23.3,13,1.3,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,traffic,0,ASMIA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,70.2,0,CHMI,51,26,27,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,urban,0,ASROA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,55.3,0,SZU,21,16.2,15,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,urban,0,ASTOA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,47.3,CHMI,27,18.8,20,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,2,good,suburban,0,ASUCA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,60.2,CHMI,24,19.8,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,4,suitable,traffic,0,AVRSA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,81,40.1,0,0,2019-02-20 21:47:00.0
2019-02-20 21:47 CET,3,fair,traffic,0,AVYNA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,72.9,8.6,CHMI,69,34,0,0,2019-02-20 21:47:00.0
2019-02-20 21:24 CET,2,good,urban,0,ABREA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,18.6,0,CHMI,23,19.9,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,urban,0,ACHOA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,29.5,0,CHMI,19,19.3,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,traffic,0,AKALA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,44.6,0,CHMI,31,27.7,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,3,fair,suburban,0,AKOBA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,24.3,51.5,CHMI,43,20.3,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,3,fair,traffic,297,ALEGA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,64.1,0,CHMI,35,23.3,21,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,traffic,0,ALERA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,18.6,0,Letiste Pr,23,25.5,16,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,suburban,280,ALIBA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.1,46.7,CHMI,37,20.6,20.5,4,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,3,fair,traffic,0,APRUA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,68.9,0,CHMI,58,29,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,urban,0,AREPA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,40.9,0,CHMI,18,24.8,0,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,suburban,0,ARERA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,34.2,0,ZU Usti nL,37,33.8,31,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,urban,0,ARIEA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,44,38.7,CHMI,25,23.3,13,1.3,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,3,fair,traffic,0,ASMIA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,70.2,0,CHMI,51,26,27,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,3,fair,urban,0,ASROA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,55.3,0,SZU,21,16.2,15,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,urban,0,ASTOA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,47.3,CHMI,27,18.8,20,0,2019-02-20 21:24:00.0
2019-02-20 21:24 CET,2,good,suburban,0,ASUCA,2019-02-20 19:00:00.0 UTC,2019-02-20 20:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,60.2,CHMI,24,19.8,0,0,2019-02-20 21:24:00.0
